Opinion,Labels,,,,,,,,,,,,,,,,,,,,,,
Thi?t ngh? ?? thi UTC nên ??i l?i tên,Positive,,,,,,,,,,,,,,,,,,,,,,
"?????????????????? ?? ?????? ???????? 

? Các b?n chu?n b? cháy h?t mình vào ?êm mai ch?a, ?êm nh?c h?i chào tân sinh viên K63 ?????????? ???? ???????? chính th?c ???c di?n ra.

?? Các b?n sinh viên có c?m th?y háo h?c không nào? Ch??ng trình hu??a he?n ta?o ra cú no??, ?o??t cha?y sa?n kha??u trong ?e?m su?? kie??n, mang la?i nhu??ng khoa?nh kha??c kho? que?n cho ca?c ba?n sinh vie?n!

—------------------------------------------------------------------
?????????? ???? ???????? - ?êm nh?c h?i chào Tân Sinh viên K63 ??i h?c Giao thông v?n t?i
? Th?i gian: Th? 3, ngày 08/11.
?? ??a ?i?m: Tr??ng ??i h?c Giao thông v?n t?i, s? 3 C?u Gi?y, ??ng ?a, Hà N?i ",Neutral,,,,,,,,,,,,,,,,,,,,,,
Cho em h?i là ?i?m thi ti?ng anh ??u vào c?a em ?? ?i?u ki?n c?a tr??ng mình là B1 r?i thì gi? ?? c?i thi?n trình ?? ti?ng anh em nên h?c ielts hay toeic hay ??i h?c ti?ng anh chuyên ngành ?!,Neutral,,,,,,,,,,,,,,,,,,,,,,
Cái cây m?c d? ph?t nh? .Hy v?ng share lên FB s? giúp mình qua môn ??,Neutral,,,,,,,,,,,,,,,,,,,,,,
"M?y con l?n tr?m m? ? tr??ng s?ng thi?u th?n quá hay sao mà dcm c? th?y m? là nh?y, dm b?n m ?éo có tý ??o ??c v?n hoá nào à. ?i thi v? ?ã không làm ???c bài xong còn ???c b?n m "" m??n "" m? ngh? có cay không? T nguy?n cho m t?ch h?t cmn k? này ?i th c h ó l ? n, ??i m? ??y xong tai.nan ch?n th??ng cmm ?i ??????????????????????????????????",Negative,,,,,,,,,,,,,,,,,,,,,,
Chúc m?ng thành tích c?a c? thày và trò Tr??ng ?HGT v?n t?i ?,Positive,,,,,,,,,,,,,,,,,,,,,,
"Khuôn viên r?ng rãi, ch?t l??ng ?ào t?o t?t, h?c phí khá r? so v?i các tr??ng ??i h?c khác.",Positive,,,,,,,,,,,,,,,,,,,,,,
??i h?c Giao thông v?n t?i là tuy?t ??nh,Positive,,,,,,,,,,,,,,,,,,,,,,
<3,Positive,,,,,,,,,,,,,,,,,,,,,,
Là môi tr??ng ?ào t?o con ng??i toàn di?n,Positive,,,,,,,,,,,,,,,,,,,,,,
Mình c?n tìm phòng tr? g?n tr??ng giao thông. Giá 1tr/ tháng. Có ch? ?? g?i và s?c xe ??p ?i?n. V? sinh s?ch s?. B?n nào bi?t ch? mình v?i. Mình ?ang c?n g?p. Ai bi?t thì liên h? v?i mình qua s?t 0972499893,Neutral,,,,,,,,,,,,,,,,,,,,,,
"Mình còn tr?ng 1 phòng cho thuê giá 1 tri?u. 13m2 ,? t?ng 1, phòng khép kín.riêng ch?, ?i l?i tho?i mái,thu?n ti?n. ?i?n n??c tính theo giá nhà n??c. Ai có nhu c?u liên h? 0978226816 / 0984226819. ??a ch? s? 17, ngõ 371/2 kim mã.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Xin phép admin
 N?i lo sv v? quê h?t xe ho?c b? chém giá c? thu chênh giá cao :)) sao ph?i tranh giành nhà mình có xe gi??ng n?m ch?t l??ng cao chuyên tuy?n Hà N?i <=> Móng cái xu?t b?n N??c ng?m 19h và Móng Cái v? lúc 21h20 giá vé luôn ???c cam k?t không t?ng thêm ?úng giá vé quy ??nh k? c? l? nh? ngày th??ng uy tín hàng ??u :)) b?n sv có nhu c?u c? ?? l?i d??i comment ho?c g?i s? 01655429429",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Th?y t? m? 1 l?p h?c toeic MI?N PHÍ trong 3 tháng , gi?i h?n 10-15 b?n thôi. H?c t?i Chùa Láng , 2b/ tu?n. Khai gi?ng vào ch? nh?t tu?n này.
Ai mu?n h?c cmt : 1 và ib cho t? nhé .
Ch?t danh sách vào 22h t?i nay
P/s : VI?T NAM nói là làm",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Mình c?n pass l?i khóa h?c giao ti?p 4,5 tháng ? Langmaster h?c vào th? 2 th? 5 t? 18h ??n 21h hàng tu?n, tham gia clb ch? nh?t mi?n phí. Do l?ch h?c l?ch thi d?n d?p xong ra t?t l?i ?i quân s? n?a. ? Langmaster h? ch? cho b?o l?u 1 l?n kéo dài 2 tháng thôi. Nên mình ko theo h?c ?c. M mua 7480k pass l?i giá fix tho?i mái. Th?t s? m r?t ti?c khi ngh? nh?ng quy ??nh c?a trung tâm ko cho h?c viên ngh? quá :(((",Neutral,,,,,,,,,,,,,,,,,,,,,,
"?????? BÙNG N? DATA CENTER CU?I N?M 2017??????
List job Full option dành cho sinh viên N?M CU?I, M?I T?T NGHI?P t?i c? các b?n ?Ã CÓ KINH NGHI?M 1 n?m tr? lên
??N?ng ?ã có DATA CENTER
??M?a ?ã có DATA CENTER
??Vi?c c?a b?n ch? là vào phòng ?i?u hòa và chuyên tâm công tác thôi nhé
01. C?ng tác viên v?n hành ?i?n Data center
? KHÔNG yêu c?u kinh nghi?m, không yêu c?u gi?i tính
CH? C?N
? b?n có ki?n th?c v? h? th?ng ?i?n, có th? làm vi?c Full-time
? ?U TIÊN sinh viên n?m cu?i ho?c m?i t?t nghi?p

02. Nhân viên vi?n hành h? th?ng Data center
?? Nam gi?i, ?? tu?i 25-35
?? Có kinh nghi?m xây d?ng, tri?n khai ??u n?i cáp ?i?n h? th?.
?? Có ki?n th?c, kinh nghi?m chuyên sâu v? TBA, MF?, UPS, ?i?u hòa chính xác… là m?t l?i th?.
?? Có kh? n?ng ?i công tác

CV g?i v?: PhuongBB5 @fpt. com. vn
<3",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tu?i sinh viên ??p nh?t c?a tôi t?i GTVT, nh? nh?ng n?m tháng ?i h?c ?ã qua  :)",Positive,,,,,,,,,,,,,,,,,,,,,,
?ai hoc giao thong van tai phat trien manh me va vung chac xin chuc mung,Positive,,,,,,,,,,,,,,,,,,,,,,
Xem qua thôi ?ã th?y h?p d?n r?iii tham gia ch?c ph?i h?p d?n x10 à không x100,Positive,,,,,,,,,,,,,,,,,,,,,,
"Nay mình lên ?ây xin gi?i thi?u cho m?i ng??i 1 quán r?t chi là uy tín ??
Quán n?m ? ngay ???ng chính , ngõ 1096 Chùa Láng ??ng ?a Hà N?i. C?ng g?n tr??ng giao thông b?n mình luôn ?y ??????
Câu chuy?n là con b?n em ??c ???c bài tuy?n m?u tóc làm free và còn nh?n ???c l??ng m?u là 400k. Th?y v?y thì con b?n em nó c?ng ?ng tuy?n và ??n quán làm, cho ??n khi ?ang làm tóc thì b?n chó nó b?o tóc b?n em y?u c?n d??ng tóc mà tóc b?n e h?t t?m 10ml 200k thôi,  thì nghe v?y con b?n em lúc ?y c?ng ngh? là h?t t?m 200 300k thôi . Nh?ng lúc tính ti?n thì nó b?o h?t 13ml t?ng 2tr6 t?c là 1ml h?t 200k. ?a alo??????. Vâng là 2tr6 ti?n tr? và ti?n ?n u?ng tháng t?i c?a b?n em ?y ???. ?úng toàn b?n súc v?t,d? rách, c?n bã xã h?i làm ?n thì nh? ??u bu?i , ?i l?a ti?n sinh viên trong khi m?t m?i c?ng sáng s?a ?y nh?. Làm tóc thì chán ?éo mu?n nói tay ngh? ?éo có mà bày ??t m? quán c?ng ?n l?m c? , à mà ti?c là lo?i này m? ra ?? l?a m?i ??p ???c ti?n sinh s?ng qua ngày????. T?i th? là cùng?? Cái t? nhiên th?y ti?c cho s? ph?n m?y ??a ?éo có ?n h?c ??n n?i ??n ch?n??.Mà nói thì c?ng do b?n em không h?i k? nên m?i thành ra v?y. Không ch? v?y mà còn 1 b?n n? n?a c?ng b? gi?ng b?n em có ngh? là ?ã có r?t nhi?u ng??i b? l?a gi?ng nh? v?y.Nên nay em lên ?ây ch? mu?n nh?c nh? m?y b?n sinh viên ch?a bi?t thì nên c?n th?n ch? gi? cái ?éo gì c?ng l?a ???c. ?n ? cho có ??c xíu c?n th?n ra ???ng xe tông ch?t c? mày, à mà th? lo?i ki?u này c?ng ch?t s?m ch? ?âu.Thân ái.??",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Ti?ng Anh thi ??u vào là không b?t bu?c ?âu bé ?iii .
Còn v? KTVT thì kì ??u h?c m?y môn ??i c??ng nh? : tin , th? , gi?i tích , ??i s? tt , tri?t h?c , qu?c phòng ,… nh?ng kì sau s? nh?p môn chuyên ngành V?n t?i , marketing v?n t?i , th??ng v? v?n t?i , h? th?ng phân ph?i , giao nh?n v?n t?i , qu?n lý h? th?ng kho bãi ..",Neutral,,,,,,,,,,,,,,,,,,,,,,
Nói chung h?c r?t d?. Anh h?c h?t kì 1 r?i mà v?n ch?a bi?t ?ang h?c gì =))),Positive,,,,,,,,,,,,,,,,,,,,,,
Zui l?m em ?i. Zô thôi em ?i. H?c b?ng là d? em ?i. Trai xinh gái ??p thì nhi?u l?m ?,Positive,,,,,,,,,,,,,,,,,,,,,,
h?c l?i c?ng d? n?a nh?,Negative,,,,,,,,,,,,,,,,,,,,,,
"C? chu?n b? m?t tâm h?n ??p ?? l?nh h?c b?ng thui e
",Positive,,,,,,,,,,,,,,,,,,,,,,
v? ngành thì a ko ns ?c gì nhi?u nh?ng l?p ki?u gì cx ?ông con gái mà trên h?t là nhi?u ng xinh e nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
cái gì kinh qua thì m?i nghi?m ?c. Nói trc b??c ko qua thì sao. T?t nh?t là ?? e nó t? tr?i nghi?m thì s? bi?t :v c? mà ?i?u a ns ? trên thì ?úng th?t còn gì,Neutral,,,,,,,,,,,,,,,,,,,,,,
ch? bi?t m?i gái xinh thôi??,Positive,,,,,,,,,,,,,,,,,,,,,,
"h?c cx d? ,d? h?c l?i",Positive,,,,,,,,,,,,,,,,,,,,,,
nói chung là cx nhàn,Positive,,,,,,,,,,,,,,,,,,,,,,
"Nhi?u trai top ??u :)))
",Positive,,,,,,,,,,,,,,,,,,,,,,
kh? n?ng là top ??u nh?ng ??y là chuy?n c?a vài ch?c n?m v? tr??c. Hhh. Gi? khác r?i??,Negative,,,,,,,,,,,,,,,,,,,,,,
??u kh?c à =))),Negative,,,,,,,,,,,,,,,,,,,,,,
chi?n th?ng này ngoài nh? tài n?ng c?a các chàng trai còn có s? c? v? c?a các UTC-er n?a,Negative,,,,,,,,,,,,,,,,,,,,,,
"D?y chán nha
",Negative,,,,,,,,,,,,,,,,,,,,,,
"T?m này c?a 13 n?m tr??c thì mình c?ng chân ??t chân ráo b??c vào tr??ng Giao Thông. Nghe các b?c ti?n b?i có nói là ""Gái GT nh? n??c sông Tô L?ch"". Không bi?t bây gi? còn nh? th? không.
CÒn 1 ?i?u n?a là vào GTVT thì t?p làm quen v?i nh?ng ?? u?ng có c?n ?i là v?a.",Neutral,,,,,,,,,,,,,,,,,,,,,,
"Nhi?u quán zi?u ?? ae t? thí võ công, xôi r?, thu?c lào c?ng tr??ng hút chán. À ??y là 8 n?m tr??c, còn gi? thì tôi ch?u, c?n h?i thêm gì có th? inbox vùng kín.",Positive,,,,,,,,,,,,,,,,,,,,,,
"B?n mu?n h?c ngành gì , mình ?ang h?c TDH c?a tr??ng . th?y khá ?n - csvc ok ( m?i có phòng lab Mitsubishi - h?c phí trong top r? - các cu?c thi khá là nhi?u - IOT,DXLT,AUTOMATION CUP",Positive,,,,,,,,,,,,,,,,,,,,,,
"Gtvt thì theo e k nên h?c cntt, em c?ng ?ang h?c bên gtvgt mà h?c v? ngành v?n t?i th?y th?c s? ok",Negative,,,,,,,,,,,,,,,,,,,,,,
?? anh là fan h?c th?t thi th?t vào utc,Positive,,,,,,,,,,,,,,,,,,,,,,
"Giao thông ?i thím ?? ngày x?a n?i ti?ng tam giác qu? BK-XD-GTVT ??y,ông anh ??ng nghi?p khoa ?i?n e h?c CN?? h?c ch?c môn ?út ti?n 6 7 môn,thi c? th?y b?o c?ng ch?a c?ng l?m",Positive,,,,,,,,,,,,,,,,,,,,,,
"Tr??ng kia a ko bi?t ch? GTVT thì ??ng h?c cntt , ? Hn ch? có bk và PTIT ngon thôi .
",Negative,,,,,,,,,,,,,,,,,,,,,,
"??ng ?âm ??u vào UTC
L?i chia s? c?a 1 c?u UTCer =)))))",Negative,,,,,,,,,,,,,,,,,,,,,,
"vote gtvt, h?c phí cx r?, ?ào t?o c?ng ok (dù t? mình là ch? y?u)",Positive,,,,,,,,,,,,,,,,,,,,,,
"1, H?c phí r? top VN
2, Csvc ?n, phòng h?c 100% ?i?u hòa, có sân bóng ?á, sân tennis, bóng r?, bóng chuy?n, bóng bàn,... Nói chung ?? c?.
3, ?ào t?o ngành T? ??ng hóa r?t ngon
4, H?c gì thi n?y, ch?m ch? là l?y h?c b?ng không khó =)), h?c d? h?n các tr??ng khác nhi?u.
5, Nhi?u CLB, H?i v?, tha h? tham gia giao l?u k?t b?n.
6, ?ang ngh?",Positive,,,,,,,,,,,,,,,,,,,,,,
"so v?i các tr??ng thì gtvt thu?c t?m trung (kho?ng công nghi?p,gtvt,thu? l?i,.. ý) nh?ng ???c cái h?c phí r?, csvc thì theo mk là ?n (mk không bi?t các tr??ng khác nh? nào nên không review), ch?t l??ng gi?ng d?y thì ok , h?c quân s? t?i tr??ng. N?u b?n mu?n vào thì ch?c ph?i c? thêm ch? ?i?m m?y n?m nay lên nh? gió v?y",Positive,,,,,,,,,,,,,,,,,,,,,,
"H?c phí r?, csvc ??y ??, trung tâm thành ph? tha h? ?i ch?i, th?y cô giáo gi?ng d?y t?n tâm, nhi?u clb ho?t ??ng tích c?c, vào ?i em!",Positive,,,,,,,,,,,,,,,,,,,,,,
"Mình thích bên gtvt h?n vì công nghi?p tình tr?ng phong bì h?i nhi?u, còn ?ào t?o thì 2 bên ??u t?t",Positive,,,,,,,,,,,,,,,,,,,,,,
"H?c GTVT cho g?n b ?i, thi tho?ng qua KTX h?c ?i ti?n ???ng ?ên FTU dc ng?m gái, xong còn Chùa Láng nhi?u ?? ?n n?a ch?",Positive,,,,,,,,,,,,,,,,,,,,,,
"Ngành top utc ngày nào gi? còn nh?n xét h?c b? r?i, ôi th?i huy hoàng còn ?âu :cry:",Negative,,,,,,,,,,,,,,,,,,,,,,
"utc gi? em th?y m?y ngành kinh t? v?i cntt m?i top bác ? :sad: ngành này xét h?c b? n?m ngoái có 18? , ?i?m chu?n còn th?p h?n :burn_joss_stick:",Neutral,,,,,,,,,,,,,,,,,,,,,,
"UTC2 bên kinh t? v?n t?i c?ng n?ng nh?ng ko quá l?m ?âu, ch? y?u cày qua 2 n?m ??u c? b?n h?i chu?i thôi, vô chuyên ngành th?y cô c?ng t??ng ??i d?
n?u h?c offline nên tham kh?o ?? ? ti?m tr??c c?ng tr??ng",Positive,,,,,,,,,,,,,,,,,,,,,,
Nhành d? h?c nh?t trong tr??ng ra tr??ng ko s? thi?u vi?c làm,Positive,,,,,,,,,,,,,,,,,,,,,,
"Hãy nhìn tôi ?i b?n hao mòn nhan s?c khi h?c ngành này l?m????
Vì có nhan s?c nh?ng có gái ?âu mà ng?m",Negative,,,,,,,,,,,,,,,,,,,,,,
"Anh ko h?c c? mà anh có ??a b?n h?c toán tin bên bách khoa
R?t n?ng v? toán
Tr??ng mình ch? kém h?n 1 xíu thôi",Negative,,,,,,,,,,,,,,,,,,,,,,
"kha khá n? ?ó b?n ?i
L?p tôi khá nhi?u
K nh? 1 cài khoa khác ??????",Positive,,,,,,,,,,,,,,,,,,,,,,
"vào ngành toán ?ng d?ng thú v? l?m
Chúng ta s? bi?t nhi?u h?n v? các con s? và máy tính
D? s?n ???c h?c b?ng l?m l?m",Positive,,,,,,,,,,,,,,,,,,,,,,
Ch?y ngay ?i. Và ??ng quay ??u l?i??,Negative,,,,,,,,,,,,,,,,,,,,,,
IT tr??ng mình k ph?i chuyên nh?ng n?u ?ã quy?t tâm h?c và ??nh rõ t??ng lai thì k gì là k th? nhé,Neutral,,,,,,,,,,,,,,,,,,,,,,
"T?h nha em , h?c d? nh? ?i ch?i ??y",Positive,,,,,,,,,,,,,,,,,,,,,,
?i h?c ?? 99% qua nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
T? ??ng hoá oke nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
H?c ngành nào c?ng có nguy c? t?ch môn =)) vd b?n mình n?m nh?t làm vài môn r,Negative,,,,,,,,,,,,,,,,,,,,,,
"Khó t?ch em ?,v?a hok v?a ch?i c?ng cùng l?m là ?i?m trung bình,t?ch sao ???c.",Positive,,,,,,,,,,,,,,,,,,,,,,
Tên tr???ng no?i lên tâ?t ca? . Log ha?ng ?â?u ca? nc nhe?,Positive,,,,,,,,,,,,,,,,,,,,,,
"https://www.facebook.com/groups/k63.utc/permalink/418709090108585/?fs=e&s=cl. ?ây là m?t vài chia s? v? ch??ng trình h?c, v? trí vi?c làm nh?ng v?n ?? em ?ang quan tâm. Ngoài ra logistics c?a Tr??ng mình t?t nhiên là khác TMU: ??n gi?n là tên tr??ng ?ã nói lên th? m?nh, m?i nh?n c?a tr??ng ?ào t?o v? chuyên ngành ??y. Logistics m?t ph?m trù thu?c v? l?nh v?c giao thông v?n t?i nên em cân nh?c k? l??ng nhé!",Positive,,,,,,,,,,,,,,,,,,,,,,
"nhi?u con gái nha ????
",Positive,,,,,,,,,,,,,,,,,,,,,,
Ngoài ??c ra thì cx toàn ??c ????,Negative,,,,,,,,,,,,,,,,,,,,,,
Ngon-B?-R?,Positive,,,,,,,,,,,,,,,,,,,,,,
Mình xin ít thông tin v? môi tr??ng h?c(quan h? b?n bè và các v?n ?? v? t? n?n),Neutral,,,,,,,,,,,,,,,,,,,,,,
"Tr? l?i câu 1 là siêuuuuuu tuy?t v?i, nhi?t tình, vui tính, thân thi?n, t?t b?ng nhoé!",Positive,,,,,,,,,,,,,,,,,,,,,,
Hay l?m em h?c x?ng ?áng ??ng ti?n sau ra có b?ng k? s?,Positive,,,,,,,,,,,,,,,,,,,,,,
Ch? ?ã chuy?n trg chuy?n ngành sau khi theo h?c qtri dv dl t?i utc ?c 3 tháng ??????,Negative,,,,,,,,,,,,,,,,,,,,,,
"Chúng ta s? r?t zui z? v?i nh?ng cái deadline liên t?c, th?m chí deadline 1 ngày nha em :)))",Negative,,,,,,,,,,,,,,,,,,,,,,
"Ti?ng anh thì h?c k nhi?u ?âu, deadline nhi?u thôi :)))",Negative,,,,,,,,,,,,,,,,,,,,,,
Anh k62 m?i v?a ngh? h?c xong,Negative,,,,,,,,,,,,,,,,,,,,,,
D? h?c l?i n?u ko ?? ý h?c phí,Neutral,,,,,,,,,,,,,,,,,,,,,,
"H?c ngành này nói chung c?ng d?.
D? qua môn n?u em h?c hành ch?m ch?.",Positive,,,,,,,,,,,,,,,,,,,,,,
"Vào CLB Di?n Thuy?t ??i H?c Giao Thông V?n T?i ?? ???c g?p nh?ng thành viên nhi?t huy?t, nâng cao k? n?ng giao ti?p, thuy?t trình, teamwork…,hoàn thi?n b?n thân nhé",Positive,,,,,,,,,,,,,,,,,,,,,,
ktx Xanh s?ch ??p e ??,Positive,,,,,,,,,,,,,,,,,,,,,,
? ktx ko vui ko l?y ti?n nhé,Positive,,,,,,,,,,,,,,,,,,,,,,
"N?m ??u ch?i tho?i mái, n?m 2 ch?u khó chút ?? h?c l?i ít thôi, n?m 3 4 v?t h?n, h?n ch? b? h?c l?i ko là b? ?u?i ??y. B?n a h?c ??n n?m cu?i b? ?u?i vì n? môn nhi?u quá",Neutral,,,,,,,,,,,,,,,,,,,,,,
